,count,mean,std,min,25%,50%,75%,max
0.00,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00.3,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.00,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.6,9.0,0.09333333333333332,0.27999999999999997,0.0,0.0,0.0,0.0,0.84
0.00.7,9.0,0.5555555555555556,0.5270462766947299,0.0,0.0,0.75,1.0,1.0
0.00.8,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.9,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
1.00.1,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.10,9.0,0.6666666666666666,0.5,0.0,0.0,1.0,1.0,1.0
0.00.11,9.0,0.39111111111111113,0.48652966108050505,0.0,0.0,0.0,1.0,1.0
1.00.2,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.12,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.13,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.14,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.15,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.16,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.17,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.75,1.0
0.00.18,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.19,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.20,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.21,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00.22,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.23,9.0,0.40555555555555556,0.4927248499698161,0.0,0.0,0.0,1.0,1.0
0.00.24,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.25,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.26,9.0,0.39111111111111113,0.48652966108050505,0.0,0.0,0.25,1.0,1.0
0.00.27,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.28,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.0,1.0,1.0
0.00.29,9.0,0.5555555555555556,0.5270462766947299,0.0,0.0,1.0,1.0,1.0
0.00.30,9.0,0.5055555555555555,0.5002777006601211,0.0,0.0,0.55,1.0,1.0
0.00.31,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.32,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.33,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.34,9.0,0.31555555555555553,0.4755815153869815,0.0,0.0,0.0,0.84,1.0
0.00.35,9.0,0.2866666666666667,0.4467661580737735,0.0,0.0,0.0,0.58,1.0
0.00.36,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.37,9.0,0.5555555555555556,0.5270462766947299,0.0,0.0,1.0,1.0,1.0
0.00.38,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.39,9.0,0.6522222222222223,0.49096277297209046,0.0,0.0,0.87,1.0,1.0
0.00.40,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.41,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.42,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.43,9.0,0.38666666666666666,0.4853864439804639,0.0,0.0,0.12,1.0,1.0
0.00.44,9.0,0.25111111111111106,0.4330255317081328,0.0,0.0,0.0,0.26,1.0
0.00.45,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.46,9.0,0.41555555555555557,0.4991771006143789,0.0,0.0,0.25,1.0,1.0
0.00.47,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.48,9.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.00.49,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.50,9.0,0.39111111111111113,0.48652966108050505,0.0,0.0,0.25,1.0,1.0
0.00.51,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.52,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
0.00.53,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
0.00.54,9.0,0.5555555555555556,0.5270462766947299,0.0,0.0,1.0,1.0,1.0
0.00.55,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.75,1.0
0.00.56,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.0,1.0
0.00.57,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.58,9.0,0.1111111111111111,0.33333333333333337,0.0,0.0,0.0,0.0,1.0
0.00.59,9.0,0.2222222222222222,0.44095855184409843,0.0,0.0,0.0,0.25,1.0
0.00.60,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.25,1.0,1.0
