,count,mean,std,min,25%,50%,75%,max
SRR24222781.unitigs.fa.gz,18005057.0,0.39720819434228954,0.48290325103400494,0.0,0.0,0.0,1.0,1.0
SRR24222782.unitigs.fa.gz,18005057.0,0.0053026674672565595,0.06947492213508076,0.0,0.0,0.0,0.0,1.0
SRR24222783.unitigs.fa.gz,18005057.0,0.0061243521750583745,0.07188863529615559,0.0,0.0,0.0,0.0,1.0
SRR24222784.unitigs.fa.gz,18005057.0,0.38238669447144763,0.4784824756897925,0.0,0.0,0.0,1.0,1.0
SRR24222785.unitigs.fa.gz,18005057.0,0.005892448993635511,0.07302081561361116,0.0,0.0,0.0,0.0,1.0
SRR24222786.unitigs.fa.gz,18005057.0,0.005551955209028218,0.07180476390496666,0.0,0.0,0.0,0.0,1.0
SRR24222787.unitigs.fa.gz,18005057.0,0.3917917543943349,0.4766966040350854,0.0,0.0,0.0,1.0,1.0
SRR24222788.unitigs.fa.gz,18005057.0,0.36738810824092366,0.4690075292906048,0.0,0.0,0.0,1.0,1.0
SRR24222790.unitigs.fa.gz,18005057.0,0.41343270448963304,0.49088027832873177,0.0,0.0,0.0,1.0,1.0
SRR24222801.unitigs.fa.gz,18005057.0,0.41078494614040933,0.48892497339349295,0.0,0.0,0.0,1.0,1.0
SRR24222812.unitigs.fa.gz,18005057.0,0.41877651650866754,0.4916659734111301,0.0,0.0,0.0,1.0,1.0
SRR24222816.unitigs.fa.gz,18005057.0,0.41647410280345126,0.49107737052223593,0.0,0.0,0.0,1.0,1.0
SRR24222817.unitigs.fa.gz,18005057.0,0.4171892596618828,0.4908611447767359,0.0,0.0,0.0,1.0,1.0
SRR24222818.unitigs.fa.gz,18005057.0,0.41325282835816624,0.4902675031847723,0.0,0.0,0.0,1.0,1.0
SRR24222819.unitigs.fa.gz,18005057.0,0.4175069470760354,0.4919738694027627,0.0,0.0,0.0,1.0,1.0
SRR24222820.unitigs.fa.gz,18005057.0,0.41159818710932156,0.4897043398864461,0.0,0.0,0.0,1.0,1.0
SRR24222821.unitigs.fa.gz,18005057.0,0.4170143054809546,0.49076886322576907,0.0,0.0,0.0,1.0,1.0
SRR24222822.unitigs.fa.gz,18005057.0,0.4151952437584619,0.49113583925426635,0.0,0.0,0.0,1.0,1.0
SRR24222823.unitigs.fa.gz,18005057.0,0.41813736718523026,0.49179111815561427,0.0,0.0,0.0,1.0,1.0
SRR24222824.unitigs.fa.gz,18005057.0,0.4134403201278397,0.48923807749052994,0.0,0.0,0.0,1.0,1.0
SRR24222825.unitigs.fa.gz,18005057.0,0.390788141353843,0.48356259272055985,0.0,0.0,0.0,1.0,1.0
SRR24222826.unitigs.fa.gz,18005057.0,0.423596570674561,0.491048798219132,0.0,0.0,0.0,1.0,1.0
SRR24222827.unitigs.fa.gz,18005057.0,0.4132299097970088,0.4903762730761312,0.0,0.0,0.0,1.0,1.0
SRR24222828.unitigs.fa.gz,18005057.0,0.4139410194591442,0.4906715693262781,0.0,0.0,0.0,1.0,1.0
SRR24222829.unitigs.fa.gz,18005057.0,0.41156825218603865,0.4900190611455091,0.0,0.0,0.0,1.0,1.0
SRR24222830.unitigs.fa.gz,18005057.0,0.41463896448647736,0.49068184162065615,0.0,0.0,0.0,1.0,1.0
SRR24222831.unitigs.fa.gz,18005057.0,0.4174628772349901,0.4915223578601554,0.0,0.0,0.0,1.0,1.0
SRR24222832.unitigs.fa.gz,18005057.0,0.410818744978147,0.4890051604043112,0.0,0.0,0.0,1.0,1.0
SRR24222833.unitigs.fa.gz,18005057.0,0.41462534109167215,0.4905225084947989,0.0,0.0,0.0,1.0,1.0
SRR24222834.unitigs.fa.gz,18005057.0,0.4041053232988932,0.48662393769603374,0.0,0.0,0.0,1.0,1.0
