,count,mean,std,min,25%,50%,75%,max
Unitigs_id,18005057.0,637401498.8744895,130742997.63614625,69779409.0,525886075.0,639243414.0,749600911.5,862921119.0
SRR24222781,18005057.0,0.3972081943422895,0.48290325103400505,0.0,0.0,0.0,1.0,1.0
SRR24222782,18005057.0,0.005302667467256561,0.06947492213508077,0.0,0.0,0.0,0.0,1.0
SRR24222783,18005057.0,0.006124352175058374,0.0718886352961556,0.0,0.0,0.0,0.0,1.0
SRR24222784,18005057.0,0.3823866944714477,0.4784824756897925,0.0,0.0,0.0,1.0,1.0
SRR24222785,18005057.0,0.005892448993635511,0.07302081561361116,0.0,0.0,0.0,0.0,1.0
SRR24222786,18005057.0,0.005551955209028218,0.07180476390496666,0.0,0.0,0.0,0.0,1.0
SRR24222787,18005057.0,0.39179175439433483,0.4766966040350854,0.0,0.0,0.0,1.0,1.0
SRR24222788,18005057.0,0.36738810824092366,0.46900752929060485,0.0,0.0,0.0,1.0,1.0
SRR24222790,18005057.0,0.41343270448963304,0.49088027832873177,0.0,0.0,0.0,1.0,1.0
SRR24222801,18005057.0,0.4107849461404093,0.488924973393493,0.0,0.0,0.0,1.0,1.0
SRR24222812,18005057.0,0.41877651650866754,0.49166597341113016,0.0,0.0,0.0,1.0,1.0
SRR24222816,18005057.0,0.41647410280345126,0.49107737052223593,0.0,0.0,0.0,1.0,1.0
SRR24222817,18005057.0,0.4171892596618828,0.4908611447767359,0.0,0.0,0.0,1.0,1.0
SRR24222818,18005057.0,0.4132528283581663,0.49026750318477225,0.0,0.0,0.0,1.0,1.0
SRR24222819,18005057.0,0.41750694707603536,0.49197386940276266,0.0,0.0,0.0,1.0,1.0
SRR24222820,18005057.0,0.41159818710932156,0.4897043398864461,0.0,0.0,0.0,1.0,1.0
SRR24222821,18005057.0,0.4170143054809546,0.49076886322576907,0.0,0.0,0.0,1.0,1.0
SRR24222822,18005057.0,0.4151952437584619,0.4911358392542664,0.0,0.0,0.0,1.0,1.0
SRR24222823,18005057.0,0.41813736718523015,0.49179111815561427,0.0,0.0,0.0,1.0,1.0
SRR24222824,18005057.0,0.41344032012783966,0.4892380774905299,0.0,0.0,0.0,1.0,1.0
SRR24222825,18005057.0,0.39078814135384304,0.4835625927205599,0.0,0.0,0.0,1.0,1.0
SRR24222826,18005057.0,0.423596570674561,0.49104879821913205,0.0,0.0,0.0,1.0,1.0
SRR24222827,18005057.0,0.4132299097970087,0.4903762730761312,0.0,0.0,0.0,1.0,1.0
SRR24222828,18005057.0,0.4139410194591442,0.49067156932627815,0.0,0.0,0.0,1.0,1.0
SRR24222829,18005057.0,0.41156825218603854,0.490019061145509,0.0,0.0,0.0,1.0,1.0
SRR24222830,18005057.0,0.41463896448647736,0.4906818416206561,0.0,0.0,0.0,1.0,1.0
SRR24222831,18005057.0,0.41746287723499015,0.49152235786015547,0.0,0.0,0.0,1.0,1.0
SRR24222832,18005057.0,0.41081874497814697,0.4890051604043112,0.0,0.0,0.0,1.0,1.0
SRR24222833,18005057.0,0.4146253410916722,0.49052250849479884,0.0,0.0,0.0,1.0,1.0
SRR24222834,18005057.0,0.40410532329889326,0.4866239376960338,0.0,0.0,0.0,1.0,1.0
SRR24222835,18005057.0,0.41459843753896486,0.4908119187164026,0.0,0.0,0.0,1.0,1.0
