,count,mean,std,min,25%,50%,75%,max
Unitigs_id,98312806.0,637465078.3017927,130741554.30701987,12670800.0,524241748.0,637238505.75,749936637.0,862921143.0
SRR24222781,98312806.0,0.1143688079658717,0.3150523187246812,0.0,0.0,0.0,0.0,1.0
SRR24222782,98312806.0,0.15233733955269263,0.3479668195654076,0.0,0.0,0.0,0.0,1.0
SRR24222783,98312806.0,0.1699691580362379,0.3674449370476076,0.0,0.0,0.0,0.0,1.0
SRR24222784,98312806.0,0.11538981249299303,0.313768240584374,0.0,0.0,0.0,0.0,1.0
SRR24222785,98312806.0,0.25277257369706235,0.4297736785912802,0.0,0.0,0.0,1.0,1.0
SRR24222786,98312806.0,0.2423491523576288,0.42172897331646364,0.0,0.0,0.0,0.91,1.0
SRR24222787,98312806.0,0.11620899163431467,0.3137369411452353,0.0,0.0,0.0,0.0,1.0
SRR24222788,98312806.0,0.10999789569631449,0.30500281381656025,0.0,0.0,0.0,0.0,1.0
SRR24222790,98312806.0,0.12143197001212641,0.32561205789607445,0.0,0.0,0.0,0.0,1.0
SRR24222801,98312806.0,0.1208465752671122,0.32426089642705724,0.0,0.0,0.0,0.0,1.0
SRR24222812,98312806.0,0.12195890095945384,0.3262057474356369,0.0,0.0,0.0,0.0,1.0
SRR24222816,98312806.0,0.12138905220546752,0.32544693592212837,0.0,0.0,0.0,0.0,1.0
SRR24222817,98312806.0,0.12119350209574938,0.3250742969244354,0.0,0.0,0.0,0.0,1.0
SRR24222818,98312806.0,0.12046898539341866,0.32426825887308475,0.0,0.0,0.0,0.0,1.0
SRR24222819,98312806.0,0.12225810358825481,0.3269166163303771,0.0,0.0,0.0,0.0,1.0
SRR24222820,98312806.0,0.1203050143843926,0.32410277006346466,0.0,0.0,0.0,0.0,1.0
SRR24222821,98312806.0,0.12113211802743176,0.3249952137412786,0.0,0.0,0.0,0.0,1.0
SRR24222822,98312806.0,0.12086973074494486,0.32496533952335543,0.0,0.0,0.0,0.0,1.0
SRR24222823,98312806.0,0.12190718256988821,0.3262947722324652,0.0,0.0,0.0,0.0,1.0
SRR24222824,98312806.0,0.12015751305074132,0.3234157854393749,0.0,0.0,0.0,0.0,1.0
SRR24222825,98312806.0,0.11456662187019664,0.31621971026783413,0.0,0.0,0.0,0.0,1.0
SRR24222826,98312806.0,0.12539818159599675,0.3294368963356402,0.0,0.0,0.0,0.0,1.0
SRR24222827,98312806.0,0.1202735289642735,0.32409628433656945,0.0,0.0,0.0,0.0,1.0
SRR24222828,98312806.0,0.1210091879586877,0.32503871521069444,0.0,0.0,0.0,0.0,1.0
SRR24222829,98312806.0,0.12000930458642388,0.3237673536338348,0.0,0.0,0.0,0.0,1.0
