,PC1,PC2
Unitigs_id,2718514500000.0,-7917569000.0
SRR24222781.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222782.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222783.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222784.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222785.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222786.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222787.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222788.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222790.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222801.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222812.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222816.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222817.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222818.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222819.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222820.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222821.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222822.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222823.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222824.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222825.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222826.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222827.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222828.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222829.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222830.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222831.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222832.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222833.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222834.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222835.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222836.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222837.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222838.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222839.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222840.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222841.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222842.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222843.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222844.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222845.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222846.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222847.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222848.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222849.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222850.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222851.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222852.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222853.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222854.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222855.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222856.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222857.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222858.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222859.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222860.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222861.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222862.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222863.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222864.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222865.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222866.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222867.unitigs.fa.gz,-42476274000.0,123710140.0
SRR24222868.unitigs.fa.gz,-42476274000.0,123710140.0
