Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR24222868	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	354765	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222868/SRR24222868.sra	SRR24222868.sra	SRR24222868_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/068/SRR24222868/SRR24222868_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/068/SRR24222868/SRR24222868_1.fastq.gz	SRR24222868_1.fastq.gz	SRR24222868_WGS_of_Ischnura_elegans_female_1.fastq.gz
SRR24222868	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	354765	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222868/SRR24222868.sra	SRR24222868.sra	SRR24222868_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/068/SRR24222868/SRR24222868_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/068/SRR24222868/SRR24222868_2.fastq.gz	SRR24222868_2.fastq.gz	SRR24222868_WGS_of_Ischnura_elegans_female_2.fastq.gz
SRR24222862	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	274403	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222862/SRR24222862.sra	SRR24222862.sra	SRR24222862_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/062/SRR24222862/SRR24222862_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/062/SRR24222862/SRR24222862_1.fastq.gz	SRR24222862_1.fastq.gz	SRR24222862_WGS_of_Ischnura_elegans_female_1.fastq.gz
SRR24222862	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	274403	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222862/SRR24222862.sra	SRR24222862.sra	SRR24222862_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/062/SRR24222862/SRR24222862_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/062/SRR24222862/SRR24222862_2.fastq.gz	SRR24222862_2.fastq.gz	SRR24222862_WGS_of_Ischnura_elegans_female_2.fastq.gz
SRR24222864	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	305265	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222864/SRR24222864.sra	SRR24222864.sra	SRR24222864_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/064/SRR24222864/SRR24222864_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/064/SRR24222864/SRR24222864_1.fastq.gz	SRR24222864_1.fastq.gz	SRR24222864_WGS_of_Ischnura_elegans_female_1.fastq.gz
SRR24222864	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	305265	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222864/SRR24222864.sra	SRR24222864.sra	SRR24222864_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/064/SRR24222864/SRR24222864_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/064/SRR24222864/SRR24222864_2.fastq.gz	SRR24222864_2.fastq.gz	SRR24222864_WGS_of_Ischnura_elegans_female_2.fastq.gz
SRR24222867	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	224975	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222867/SRR24222867.sra	SRR24222867.sra	SRR24222867_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/067/SRR24222867/SRR24222867_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/067/SRR24222867/SRR24222867_1.fastq.gz	SRR24222867_1.fastq.gz	SRR24222867_WGS_of_Ischnura_elegans_female_1.fastq.gz
SRR24222867	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	224975	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222867/SRR24222867.sra	SRR24222867.sra	SRR24222867_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/067/SRR24222867/SRR24222867_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/067/SRR24222867/SRR24222867_2.fastq.gz	SRR24222867_2.fastq.gz	SRR24222867_WGS_of_Ischnura_elegans_female_2.fastq.gz
SRR24222865	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	264787	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222865/SRR24222865.sra	SRR24222865.sra	SRR24222865_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/065/SRR24222865/SRR24222865_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/065/SRR24222865/SRR24222865_1.fastq.gz	SRR24222865_1.fastq.gz	SRR24222865_WGS_of_Ischnura_elegans_female_1.fastq.gz
SRR24222865	WGS of Ischnura elegans: female	Illumina NovaSeq 6000	264787	1690754400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR242/SRR24222865/SRR24222865.sra	SRR24222865.sra	SRR24222865_WGS_of_Ischnura_elegans_female.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/065/SRR24222865/SRR24222865_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR242/065/SRR24222865/SRR24222865_2.fastq.gz	SRR24222865_2.fastq.gz	SRR24222865_WGS_of_Ischnura_elegans_female_2.fastq.gz
