,PC1,PC2
0.00,96.75742,-68.949356
0.00.1,-1406.0988,-607.12225
0.00.2,-1405.6924,-606.9116
0.00.3,-1022.26184,-511.50366
0.00.4,-1406.2,-607.47565
0.00.5,-1406.2587,-607.476
0.00.6,-1093.9917,1323.6544
0.00.7,-841.56665,-453.36606
1.00,198.31718,-15.762337
0.00.8,182.86633,-57.758434
1.00.1,271.06763,42.648773
0.00.9,237.05617,32.778973
0.00.10,244.01152,-3.7816648
0.00.11,204.61139,-16.196884
0.00.12,-824.89453,1638.1749
0.00.13,-883.0107,1599.2529
0.00.14,203.44206,58.93782
0.00.15,241.41408,-1.1628044
0.00.16,293.8521,-23.966496
0.00.17,197.79424,-25.32314
1.00.2,70.48449,-91.90036
0.00.18,304.31104,52.39083
0.00.19,220.84058,8.571785
0.00.20,217.70782,14.872358
0.00.21,224.18472,-43.18334
0.00.22,214.35185,-4.886554
0.00.23,257.21884,16.079556
0.00.24,186.91281,0.34015885
0.00.25,230.14752,5.8478928
1.00.3,162.41753,-90.12423
1.00.4,197.18886,20.322903
0.00.26,242.72997,24.474314
1.00.5,219.0958,23.015718
0.00.27,244.39348,-2.2908084
1.00.6,198.09853,-56.074997
1.00.7,75.69634,-96.545494
0.00.28,162.35976,-38.873474
0.00.29,184.43282,-12.619541
0.00.30,242.82854,30.911198
0.00.31,211.214,-16.140762
0.00.32,103.417885,-57.591415
0.00.33,154.06638,-41.468117
0.00.34,153.5403,-64.38069
1.00.8,181.32013,-13.341593
0.00.35,94.90498,-84.73516
0.00.36,250.73907,-4.7124386
0.00.37,134.9,-61.120728
0.00.38,157.96313,-25.498394
0.00.39,140.90143,-5.2860394
0.00.40,244.84518,8.184989
0.00.41,136.89925,-79.4176
0.00.42,165.31892,-35.583286
0.00.43,262.40884,28.905682
1.00.9,218.22307,-4.0708995
0.00.44,151.73528,-25.117182
1.00.10,153.10976,-10.483095
0.00.45,144.48782,-70.88488
0.00.46,165.01115,-52.774113
0.00.47,16.764193,-117.55418
1.00.11,216.4952,23.097788
0.00.48,153.57637,-36.269875
0.00.49,174.78352,-41.633972
1.00.12,57.284737,-82.9786
0.00.50,219.46207,21.825972
